question_id,context_source,gold_section_norm,context
q030,ch62,62-80,"20-05, § 1; Ord. No. 2024-12, § 6)
Sec. 62-80. - Buildings and structures.
Design and construction of buildings, structures and facilities exempt from the Florida Building
Code. Pursuant to Section 6, C (§ 62-74.C) of this ordinance, buildings, structures, and facilities
that are exempt from the Florida Building Code, including substantial improvement or repair of
substantial damage of such buildings, structures and facilities, shall be designed and constructed
in accordance with the flood load and flood-resistant construction requirements of ASCE 24.
Structures exempt from the Florida Building Code that are not walled and roofed buildings shall
comply with the requirements of Section 18 (§ 62-86) of this ordinance.
Enclosures below the lowest floor. Enclosed areas below elevated buildings and structures shall
comply with the requirements of the Florida Building Code, shall be limited to parking of vehicles,
storage, and building access, and shall comply with the following:
Access to the enclosed area shall be the minimum necessary to allow for:
Parking of vehicles (garage doors);
Limited storage of maintenance equipment used in connection with the premises
(standard exterior door not to exceed 3.0 ft. by 8.0 ft.);
Main entrance to the structure (one double door set).
All areas that are partitioned within the enclosed area shall be vented in accordance with
ASCE 24 Flood-Resistant Design and Construction;
All construction below the lowest floor shall be built with flood damage-resistant materials
consistent with ASCE 24 Flood-Resistant Design and Construction, for example: pressure
treated wood and water-durable and mold-resistant cement backerboard; and

C.
(1)
(2)
(3)
(4)
(5)
(6)
D.
E.
Section 6, D(8) (§ 62-74.D(8)) of this ordinance, regarding a Declaration of Land Restriction (Non-conversion
agreement).
D"
q031,ch62,62-73,"19-01, § 4; Ord. No. 2024-12, § 3)
Sec. 62-73. - Duties and powers of the floodplain administrator.
Designation. The County Manager or designee is designated as the Floodplain Administrator. The
Floodplain Administrator may delegate performance of certain duties to other employees.
General. The Floodplain Administrator is authorized and directed to administer and enforce the
provisions of this ordinance. The Floodplain Administrator shall have the authority to render
interpretations of this ordinance consistent with the intent and purpose of this ordinance and
may establish policies and procedures in order to clarify the application of its provisions. Such
interpretations, policies, and procedures shall not have the effect of waiving requirements
specifically provided in this ordinance without the granting of a variance pursuant to Section 9 (§
62-77) of this ordinance.
Duties of the Floodplain Administrator. The Floodplain Administrator, in coordination with other
pertinent offices of the community, shall:
Review applications and plans to determine whether proposed new development will be
located in flood hazard areas;
Re"
q032,ldc40201,4.02.01,"Collier County Land Development Code — Section 4.02.01, Dimensional Standards for Principal Uses in Base Zoning Districts.

re Minimum Yard (Setback) Requirements: Table 2.1, below, provides the
minimum yard requirements for principal structures on conforming lots of record in base
zoning districts. The following shall apply for all other lots:
Corner Lots: Corner lots shall have front yards along each street frontage. The other
yards shall be considered side yards. See LDC section 2.03.01 for Estates setbacks.
Nonconforming Lots of Record: Minimum yard requirements for nonconforming lots of
record are provided in LDC section 9.03.03 A.
Table 2.1 - TABLE OF MINIMUM YARD REQUIREMENTS
(SETBACKS) FOR BASE ZONING DISTRICTS
Note as to setback line measurement: minimum setback lines are typically measured from the
legal boundary of a lot, regardless of all easements burdening a lot, with the exception of
easements that comprise a road right-of-way where the minimum setback line is to be measured
from the road right-of-way easement line.

Zoning
district
Minimum
Front
Yard
(feet)
Minimum Side Yard (feet)
Minimum Rear Yard (feet)
Public School
Requiremen"
q033,ldc40201,4.02.01,"Collier County Land Development Code — Section 4.02.01, Dimensional Standards for Principal Uses in Base Zoning Districts.

2 
3 
4 
5 

B.
1.
2.
3.
C.
D.
1.
e = the total of all side yard setbacks shall equal 20% of the lot width, with a maximum of 50 feet.
No side yard shall be less than 10 feet. Alternative dimensions may be possible when approved
through a unified plan of development involving one or more lots under common ownership
where the yard requirements are met for the unified site but not necessarily for each parcel within
the unified site.
f = the yard requirements shall be equal to the most restrictive adjoining district.
x = for principal"
q034,ldc40203,4.02.03,"Collier County Land Development Code — Section 4.02.03, Specific Standards for Location of Accessory Buildings and Structures.

determine yard requirements, the term ""accessory
structure"" shall include detached and attached accessory use structures or buildings
notwithstanding the attachment of such structure or building containing the accessory use to
the principal use structure or building. Accessory buildings and structures must be constructed
simultaneously with or following the construction of the principal structure and shall conform
with the following setbacks and building separations.
Accessory buildings shall not occupy an area greater than five (5) percent of the total lot area in
all residential zoning districts, or occupy an area greater than forty (40) percent of any building
envelope (i.e., area of lot remaining for building purposes after accounting for required setbacks),
whichever is the lesser, provided the total maximum coverage provision of this ordinance for all
principal and accessory buildings is not exceeded. Nothing herein contained shall serve to
prevent the construction of an accessory building containing an area of less t"
q035,ldc40201,4.02.01,"Collier County Land Development Code — Section 4.02.01, Dimensional Standards for Principal Uses in Base Zoning Districts.

al Standards for Principal Uses in Base Zoning Districts
The following tables describe the dimensional standards pertaining to base zoning districts. Site
design requirements apply to the principal building on each site.
Table 1. Lot Design Requirements for Principal Uses in Base Zoning Districts.
Zoning District
Minimum Lot Area
(square feet)
Minimum Lot Width
(linear feet)
Maximum Building
Coverage
(%)
GC
None
None
None
A
217,800
165
None
E
98,010
150
None
RSF-1
43,560
150
None
RSF-2
20,000
120
None
RSF-3
10,000
Corner lot
95
Interior lot
80
None
RSF-4
7,500
75
70
None
RSF-5
6,000
70
60
None
RSF-6
6,000
70
60
None
RMF-6 S.F.
Duplex
3+ units
6,500
12,000
5,500 per unit
60
80
100
None
RMF-12
43,560
150
None
RMF-16
43,560
150
None
RT
43,560
150
None
VR
S.F./MH
Duplex
M.F.
6,000
10,000
43,560
60
100
150
None
MH
6,000
60
None
TTRVC Park
site
lots
20 acres
800
Travel trailers/Park models 40
Campsites 30
None
C-1
20,000
100
None
C-"
q036,ldc40201,4.02.01,"Collier County Land Development Code — Section 4.02.01, Dimensional Standards for Principal Uses in Base Zoning Districts.

Base Zoning Districts.
Zoning District
Minimum Lot Area
(square feet)
Minimum Lot Width
(linear feet)
Maximum Building
Coverage
(%)
GC
None
None
None
A
217,800
165
None
E
98,010
150
None
RSF-1
43,560
150
None
RSF-2
20,000
120
None
RSF-3
10,000
Corner lot
95
Interior lot
80
None
RSF-4
7,500
75
70
None
RSF-5
6,000
70
60
None
RSF-6
6,000
70
60
None
RMF-6 S.F.
Duplex
3+ units
6,500
12,000
5,500 per unit
60
80
100
None
RMF-12
43,560
150
None
RMF-16
43,560
150
None
RT
43,560
150
None
VR
S.F./MH
Duplex
M.F.
6,000
10,000
43,560
60
100
150
None
MH
6,000
60
None
TTRVC Park
site
lots
20 acres
800
Travel trailers/Park models 40
Campsites 30
None
C-1
20,000
100
None
C-2
15,000
150
None
C-3
10,000
75
None
C-4
10,000
100
None
C-5
10,000
100
Non"
q037,ldc30402,3.04.02,"Collier County Land Development Code — Section 3.04.02, Species Specific Requirements (Sea Turtle Protection).

ean any beach, or grade any dirt within 100 feet of the nesting
zone of a beach where sea turtles nest or may nest, without obtaining a
construction in sea turtle nesting area permit from the County Manager or
designee.
Page 22 of 34
Words struck through are deleted, words underlined are added
e. Minor structures, as defined by Florida Statutes-Subsection 161. 055, of the
Coastal Zone Protection Act of 1985, shall be approved, provided that they 
also comply with:
Chapter 62 of the Collier County Code of Laws and Ordinances.
Federal requirements for elevations above the 100 year flood level,
ii. Florida Building Code 
for flood pro"
q038,ch62,62-80,"Collier County Code of Ordinances, Sec. 62-80 (Buildings and structures).

Restriction (Non-conversion
agreement).
Detached accessory structures. Detached accessory structures used only for parking or storage
that are not elevated (garages, tool sheds, storage buildings, steel ISO 10'-20'-40' storage
containers, etc.) may be positioned on the ground or a slab below the base flood elevation
provided:
If located in special flood hazard areas (Zone A/AE) other than coastal high hazard areas and
Coastal A Zones, are one-story and not larger than 600 sq. ft. and have flood openings in
accordance with Section R322.2 of the Florida Building Code, Residential;
If located in coastal high hazard areas (Zone V/VE) and Coastal A Zones, are not located below
elevated buildings and are not larger than 100 sq. ft.;
Are anchored to resist flotation, collapse or lateral movement resulting from flood loads;
Have flood damage-resistant materials used below the base flood elevation plus one (1) foot;
Have mechanical, plumbing and electrical systems, including plumbing fixtures, elevated to or
above the base flood elevation plus one (1) foot; and
A property owner must provide a signed Declaration of Land Restriction (Non-conversion
agreement) prior to the issuance of the certificate of completion for detached accessory
structures that are not elevated and are greater than 120 square feet.
Design and construction of nonresidential farm buildings on farms. Pursuant to Section 6, C (§ 62-
74.C) of this ordinance, nonresidential farm buildings on farms that are exempt from the Florida
Building Code, including substantial improvement or repair of substantial damage of such
buildings, shall be designed and constructed in accordance with the flood load and flood-resistant
construction requirements of ASCE 24. If required to be elevated in accordance with ASCE 24,
nonresidential farm buildings on farms shall be elevated to or above the base flood elevation
unless granted a variance pursuant to Section 9 (§ 62-77) for wet floodproofing in accordance
with Section 9, H (§ 62-77.H). Structures exempt from the Florida Building Code that are not
walled and roofed buildings shall comply with the requirements of Section 18 (§ 62-86) of this
ordinance.
Permanently-mounted air-conditioners, generators, and other"
q039,sec2226,105.2.4,"sq. ft.).
6. Gutters and leaders.

### 105.2.4. Exemptions for detached single-family residences.

The following permit exemptions have been established for Collier County based on Sections
102.2.5 and 105.2.2 of the Florida Building Code, and Sections 553.73(4)(a) and 553.80(3)(b)(1),
Florida Statutes.

The following permit exemptions are for owners of single-family or their hired licensed non-owner
(contractor) of detached residences performing work on detached single-family properties.
All work performed shall comply with the standards of the Florida Building Code Residential and
Florida Statutes.

**Electrical:**
1. Repair work performed by licensed electrical contractors that does not exceed $1,500.00 in
 value of materials and labor.
2. Repair or replace existing light fixtures and ceiling fans.
3. Repair or replace electrical wall switches and wall outlet devices of 20 amps or less and 120 volts.
4. Repair/replace low voltage (under 77 volts) devices.

**Plumbing:**
1. Repair work performed by licensed plumbing contractors that does not exceed $1,500.00 in
 value of materials and labor.
2. Repair water solar panels by licensed plumbing contractors.
3. Change out of an above ground LP tank 100 lbs. or less.
4. Repair irrigation system.
5. Repair domestic water service/lines.
6. Unclog sewer stoppage.
7. Repair sewer line excluding repair or replacement of interceptors, separators by licensed plumbing contr"
q040,sec2226,105.2,"ext; see source for full wording).

### 105.2 Work exempt from permit.

The following permit exemptions have been established for Collier County based on Section
105.2.2 of the Florida Building Code and Section 553.73(4)(a), Florida Statutes.

Exemptions from permit requirements of this code shall not be deemed to grant authorization for
any work to be done in any manner in violation of the provisions of this code. Permits shall not be
required for the following:

**Mechanical:** dustless ventilation isolated systems, that do not affect any fire penetrations or rated assemblies.

**Plumbing:** plumbing fixture repair or replacement, that does not affect any fire penetrations or rated assemblies.

**Electrical:** ceiling fixture replacement using existing outlet box and wiring, that does not affect any fire penetrations or rated assemblies.

**Building:**
1. Flooring installation.
2. Painting/wallpaper.
3. Finish trim work.
4. Interior door replacement not affecting existing framed opening.
5. Drywall repair/replacement that are not fire-related and are small areas that do not exceed
 two sheets of drywall (64 sq. ft.).
6. Gutters and leaders.

### 105.2.4. Exemptions for detached single-family residences.

The followin"
q041,sec2226,110.3,"sentative will also be accepted.**

### 110.3 Required Inspections. (Building — Foundation inspection)

Foundation inspection: to be made after trenches are excavated and forms erected, and shall at a
minimum include the following building components:

> The permit holder shall submit, **within 10 calendar days of this inspection, a spot survey
> depicting the building foundation** to the authority having jurisdiction. For structures without a
> foundation inspection and that require a minimum floor elevation, a spot survey is required prior
> to receiving a certificate of Occupancy/Completion. The spot survey shall be prepared by or under
> the direct supervision of a Florida Registered land surveyor and certified by same and shall be in
> a form acceptable to the Building Official. The Building Official has the right to waive this
> requirement for certain small, non-habitable structures."
q042,ord,2023-64,"Collier County Ordinance No. 2023-64.

TWO: INCORPORATION, AS EXHIBIT ""A"", OF UPDATED WIND ZONE 
MAPS. 
The Wind Zone Maps appended hereto as Exhibit ""A"", consisting of Category 1, Category 2, 
Category 3 and Category 4, are hereby adopted. 
SECTION THREE: REPEAL. 
Ordinance No . 2020-48, is hereby repealed in its entirety . 
SECTION FOUR. CONFLICT AND SEVERABILITY. 
In the event this Ordinance conflicts with any other ordinance of Collier County or other 
applicable law , the more restrictive shall apply . If any phrase or portion of the Ordinance is held 
invalid or unconstitutional by any court of competent jurisdicti"
q043,ord,22-28,"Collier County Code of Ordinances, Sec. 22-28 (Penalties for violation).

23-IPR-00044 /I 8205 38/2) 
Page 6of7 

SECTION SIX: PENALTIES FOR VIOLATION. 
If any person, firm, corporation, or other legal entity whether public or private, shall fail or 
refuse to obey or comply with, or violates, any of the provisions of the Ordinance, such person, 
firm , corporation, or other legal entity whether public or private, upon conviction of such 
offense, shall be punished by a fine not to exceed Five Hundred Dollars ($500.00) or by 
imprisonment not to exceed sixty (60) days in the County jail, or both, in the discretion of the 
court. Each day of continued violation or noncompliance shall be considered as a separate 
offense. 
In addition, any person, firm , corporation, or other legal entity whether public o"
q044,ldc40203,4.02.03,"Collier County Land Development Code — Section 4.02.03, Specific Standards for Location of Accessory Buildings and Structures.

s shall not occupy an area greater than five (5) percent of the total lot area in
all residential zoning districts, or occupy an area greater than forty (40) percent of any building
envelope (i.e., area of lot remaining for building purposes after accounting for required setbacks),
whichever is the lesser, provided the total maximum coverage provision of this ordinance for all
principal and accessory buildings is not exceeded. Nothing herein contained shall serve to
prevent the construction of an accessory building containing an area of less than 500 square feet
provided all yard and building spacing requirements can be met.
All accessory structures in Rural Agricultural (A) and Estates (E) zoning districts must meet
principal str"
q045,ldc40203,4.02.03,"Collier County Land Development Code — Section 4.02.03, Specific Standards for Location of Accessory Buildings and Structures.

n front of
building
SPS
15 Feet
10 feet
Swimming pool and/or
screen enclosure (one-
and two-family)
SPS
SPS
10 feet
None
Swimming pool (multi-
family and commercial)
SPS
15 feet
20 feet
None
1
2 
1

Tennis courts (one- and
two-family)
SPS
SPS
15 Feet
10 feet
Tennis courts (multi-
family, and commercial)
SPS
15 feet
20 feet
20 feet
Trellises, arbors, and
similar structures that
do not exceed the
maximum fence height
in LDC section 5.03.02
None
None
None
None
Trellises, arbors, and
similar structures that
exceed the maximum
fence height"
